web_scraper_order,web_scraper_start_url,rent_raw,area_raw,rooms_raw,address_raw
"1764188450-67","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 6,205.– / month","152m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188450-68","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 5,500.– / month","144m²","5","Glärnischstrasse 111, 8708 Männedorf"
"1764188450-69","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,600.– / month","131m²","4.5","Pfarrgasse 6 OG, 8311 Brütten"
"1764188450-70","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 7,850.– / month","132m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188450-71","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,650.– / month","110m²","4.5","Trichtenhausenstrasse 130, 8053 Zürich"
"1764188450-72","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 2,460.– / month","79m²","2.5","Giessenplatz 8, 8600 Dübendorf"
"1764188450-73","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 2,990.– / month","58m²","2.5","Tödistrasse 63, 8810 Horgen"
"1764188450-74","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,400.– / month","88m²","4.5","Grünhaldenstrasse 28, 8052 Seebach"
"1764188450-75","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 4,450.– / month","117m²","4.5","Freihofstrasse 23, 8048 Zürich"
"1764188450-76","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 2,890.– / month","110m²","4.5","Gaswerkstrasse 9, 5610 Wohlen"
