web_scraper_order,web_scraper_start_url,rent_raw,area_raw,address_raw,rooms_raw
"1764190537-74","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 4,150.– / month","165m²","Bachtalen 26, 6332 Hagendorn","5.5"
"1764190537-75","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 2,230.– / month","72m²","Rainstr. 11, 6312 Steinhausen","3.5"
"1764190537-76","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 7,700.– / month","178m²","Dersbachstrasse 321, 6333 Hünenberg See","4.5"
"1764190537-77","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 5,500.– / month","98m²","Lorzenparkstrasse 15b, 6330 Cham","3"
"1764190537-78","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 5,500.– / month","95m²","Lorzenparkstrasse 15b, 6330 Cham","3"
"1764190537-79","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 4,500.– / month","","Bundesplatz 12, 6300 Zug","4"
"1764190537-80","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 6,280.– / month","99m²","Baarerstrasse 59, 6300 Zug","3.5"
"1764190540-81","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 1,800.– / month","","Bundesplatz 12, 6300 Zug","2.5"
"1764190540-82","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,750.– / month","93m²","Hauptstrasse 70, 6313 Edlibach","3.5"
"1764190540-83","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,800.– / month","140m²","6313 Edlibach","5.5"
